id,conversation_id,created_at,date,time,user_id,username,language,hashtags,cashtags,retweet,geo
1.50394E+18,1.50394E+18,2022-03-15 23:41:54 Eastern Daylight Time,3/15/2022,23:41:54,9.96438E+17,revibestv,en,['batman'],[],FALSE,"38.6270,-90.1994,50km"
1.50748E+18,1.50748E+18,2022-03-25 17:53:02 Eastern Daylight Time,3/25/2022,17:53:02,6.97251E+17,rfoto,en,[],[],FALSE,"41.8781,-87.6298,50km"
1.5096E+18,1.5096E+18,2022-03-31 14:36:32 Eastern Daylight Time,3/31/2022,14:36:32,4840456839,rhondagiannell1,en,[],[],FALSE,"34.0522,-118.2437,50km"
1.5096E+18,1.5096E+18,2022-03-31 14:51:37 Eastern Daylight Time,3/31/2022,14:51:37,4840456839,rhondagiannell1,en,[],[],FALSE,"34.0522,-118.2437,50km"
1.50961E+18,1.50961E+18,2022-03-31 14:54:37 Eastern Daylight Time,3/31/2022,14:54:37,4840456839,rhondagiannell1,en,[],[],FALSE,"34.0522,-118.2437,50km"
1.50961E+18,1.50961E+18,2022-03-31 14:56:18 Eastern Daylight Time,3/31/2022,14:56:18,4840456839,rhondagiannell1,en,[],[],FALSE,"34.0522,-118.2437,50km"
1.50965E+18,1.50965E+18,2022-03-31 17:48:21 Eastern Daylight Time,3/31/2022,17:48:21,4840456839,rhondagiannell1,en,[],[],FALSE,"34.0522,-118.2437,50km"
1.50965E+18,1.50965E+18,2022-03-31 17:57:45 Eastern Daylight Time,3/31/2022,17:57:45,4840456839,rhondagiannell1,en,[],[],FALSE,"34.0522,-118.2437,50km"
1.50968E+18,1.50968E+18,2022-03-31 19:52:14 Eastern Daylight Time,3/31/2022,19:52:14,4840456839,rhondagiannell1,en,[],[],FALSE,"34.0522,-118.2437,50km"
1.50954E+18,1.50954E+18,2022-03-31 10:44:14 Eastern Daylight Time,3/31/2022,10:44:14,90518809,riverregionspts,en,[],[],FALSE,"40.7128,-74.0060,50km"
1.50851E+18,1.50839E+18,2022-03-28 14:20:35 Eastern Daylight Time,3/28/2022,14:20:35,600174958,robertproehm,en,[],[],FALSE,"34.0522,-118.2437,50km"
1.50953E+18,1.50953E+18,2022-03-31 10:10:41 Eastern Daylight Time,3/31/2022,10:10:41,36716241,romanewyork,en,"['birdcpp', 'birdsinflight', 'flyingbirds', 'birds_in_flight', 'daffodill', 'spring', 'bluejays']",[],FALSE,"40.7128,-74.0060,50km"
1.50893E+18,1.50893E+18,2022-03-29 18:23:51 Eastern Daylight Time,3/29/2022,18:23:51,1.494E+18,romanferis,en,[],[],FALSE,"41.8781,-87.6298,50km"
1.50963E+18,1.50963E+18,2022-03-31 16:46:48 Eastern Daylight Time,3/31/2022,16:46:48,7.86837E+17,ronleereporting,en,"['statenisland', 'brooklyn', 'newjersey', 'porches4peace', 'ukraine', 'aroundtheboroughs', 'ny1']",[],FALSE,"40.7128,-74.0060,50km"
1.5085E+18,1.5085E+18,2022-03-28 13:28:58 Eastern Daylight Time,3/28/2022,13:28:58,50155763,ryan_sovah_yunt,en,[],[],FALSE,"34.0522,-118.2437,50km"
